Time,room_radiator_window_withoutpe.room_temperature
8176,20.6027
8176,20.6027
8177,20.5997
8177,20.5997
8178,20.5966
8178,20.5966
8179,20.5935
8179,20.5935
8180,20.5905
8180,20.5905
8181,20.5874
8181,20.5874
8182,20.5843
8182,20.5843
8183,20.5812
8183,20.5812
8184,20.5781
8184,20.5781
8185,20.575
8185,20.575
8186,20.572
8186,20.572
8187,20.5689
8187,20.5689
8188,20.5658
8188,20.5658
8189,20.5627
8189,20.5627
8190,20.5597
8190,20.5597
8191,20.5566
8191,20.5566
8192,20.5536
8192,20.5536
8193,20.5506
8193,20.5506
8194,20.5477
8194,20.5477
8195,20.5447
8195,20.5447
8196,20.5417
8196,20.5417
8197,20.5387
8197,20.5387
8198,20.5357
8198,20.5357
8199,20.5327
8199,20.5327
8200,20.5298
8200,20.5298
8201,20.5268
8201,20.5268
8202,20.5239
8202,20.5239
8203,20.521
8203,20.521
8204,20.5181
8204,20.5181
8205,20.5152
8205,20.5152
8206,20.5123
8206,20.5123
8207,20.5094
8207,20.5094
8208,20.5065
8208,20.5065
8209,20.5036
8209,20.5036
8210,20.5007
8210,20.5007
8211,20.4979
8211,20.4979
8212,20.4951
8212,20.4951
8213,20.4923
8213,20.4923
8214,20.4894
8214,20.4894
8215,20.4866
8215,20.4866
8216,20.4838
8216,20.4838
8217,20.481
8217,20.481
8218,20.4782
8218,20.4782
8219,20.4754
8219,20.4754
8220,20.4726
8220,20.4726
8221,20.4699
8221,20.4699
8222,20.4671
8222,20.4671
8223,20.4644
8223,20.4644
8224,20.4616
8224,20.4616
8225,20.4589
8225,20.4589
8226,20.4562
8226,20.4562
8227,20.4535
8227,20.4535
8228,20.4507
8228,20.4507
8229,20.448
8229,20.448
8230,20.4453
8230,20.4453
8231,20.4426
8231,20.4426
8232,20.44
8232,20.44
8233,20.4373
8233,20.4373
8234,20.4347
8234,20.4347
8235,20.4321
8235,20.4321
8236,20.4295
8236,20.4295
8237,20.4268
8237,20.4268
8238,20.4242
8238,20.4242
8239,20.4216
8239,20.4216
8240,20.419
8240,20.419
8241,20.4165
8241,20.4165
8242,20.414
8242,20.414
8243,20.4116
8243,20.4116
8244,20.4092
8244,20.4092
8245,20.4068
8245,20.4068
8246,20.4044
8246,20.4044
8247,20.402
8247,20.402
8248,20.3996
8248,20.3996
8249,20.3972
8249,20.3972
8250,20.3948
8250,20.3948
8251,20.3925
8251,20.3925
8252,20.3901
8252,20.3901
8253,20.3878
8253,20.3878
8254,20.3854
8254,20.3854
8255,20.3831
8255,20.3831
8256,20.3808
8256,20.3808
8257,20.3785
8257,20.3785
8258,20.3761
8258,20.3761
8259,20.3738
8259,20.3738
8260,20.3714
8260,20.3714
8261,20.369
8261,20.369
8262,20.3665
8262,20.3665
8263,20.3641
8263,20.3641
8264,20.3617
8264,20.3617
8265,20.3592
8265,20.3592
8266,20.3568
8266,20.3568
8267,20.3544
8267,20.3544
8268,20.3519
8268,20.3519
8269,20.3495
8269,20.3495
8270,20.3471
8270,20.3471
8271,20.3446
8271,20.3446
8272,20.3421
8272,20.3421
8273,20.3396
8273,20.3396
8274,20.3372
8274,20.3372
8275,20.3347
8275,20.3347
8276,20.3323
8276,20.3323
8277,20.3298
8277,20.3298
8278,20.3274
8278,20.3274
8279,20.3249
8279,20.3249
8280,20.3225
8280,20.3225
8281,20.32
8281,20.32
8282,20.3175
8282,20.3175
8283,20.315
8283,20.315
8284,20.3125
8284,20.3125
8285,20.3101
8285,20.3101
8286,20.3076
8286,20.3076
8287,20.3051
8287,20.3051
8288,20.3027
8288,20.3027
8289,20.3002
8289,20.3002
8290,20.2977
8290,20.2977
8291,20.2952
8291,20.2952
8292,20.2927
8292,20.2927
8293,20.2902
8293,20.2902
8294,20.2876
8294,20.2876
8295,20.2851
8295,20.2851
8296,20.2826
8296,20.2826
8297,20.2801
8297,20.2801
8298,20.2776
8298,20.2776
8299,20.2751
8299,20.2751
8300,20.2726
8300,20.2726
8301,20.27
8301,20.27
8302,20.2675
8302,20.2675
8303,20.2649
8303,20.2649
8304,20.2624
8304,20.2624
8305,20.2598
8305,20.2598
8306,20.2573
8306,20.2573
8307,20.2547
8307,20.2547
8308,20.2522
8308,20.2522
8309,20.2496
8309,20.2496
8310,20.2471
8310,20.2471
8311,20.2446
8311,20.2446
8312,20.2421
8312,20.2421
8313,20.2396
8313,20.2396
8314,20.2371
8314,20.2371
8315,20.2346
8315,20.2346
8316,20.232
8316,20.232
8317,20.2296
8317,20.2296
8318,20.2271
8318,20.2271
8319,20.2246
8319,20.2246
8320,20.2221
8320,20.2221
8321,20.2197
8321,20.2197
8322,20.2173
8322,20.2173
8323,20.2148
8323,20.2148
8324,20.2124
8324,20.2124
8325,20.21
8325,20.21
8326,20.2076
8326,20.2076
8327,20.2052
8327,20.2052
8328,20.2027
8328,20.2027
8329,20.2004
8329,20.2004
8330,20.198
8330,20.198
8331,20.1957
8331,20.1957
8332,20.1933
8332,20.1933
8333,20.191
8333,20.191
8334,20.1887
8334,20.1887
8335,20.1863
8335,20.1863
8336,20.184
8336,20.184
8337,20.1817
8337,20.1817
8338,20.1794
8338,20.1794
8339,20.1771
8339,20.1771
8340,20.175
8340,20.175
8341,20.173
8341,20.173
8342,20.1709
8342,20.1709
8343,20.1688
8343,20.1688
8344,20.1667
8344,20.1667
8345,20.1646
8345,20.1646
8346,20.1625
8346,20.1625
8347,20.1604
8347,20.1604
8348,20.1583
8348,20.1583
8349,20.1563
8349,20.1563
8350,20.1543
8350,20.1543
8351,20.1523
8351,20.1523
8352,20.1503
8352,20.1503
8353,20.1483
8353,20.1483
8354,20.1463
8354,20.1463
8355,20.1443
8355,20.1443
8356,20.1424
8356,20.1424
8357,20.1404
8357,20.1404
8358,20.1384
8358,20.1384
8359,20.1365
8359,20.1365
8360,20.1348
8360,20.1348
8361,20.1331
8361,20.1331
8362,20.1313
8362,20.1313
8363,20.1296
8363,20.1296
8364,20.1278
8364,20.1278
8365,20.1261
8365,20.1261
8366,20.1244
8366,20.1244
8367,20.1226
8367,20.1226
8368,20.1209
8368,20.1209
8369,20.1193
8369,20.1193
8370,20.1177
8370,20.1177
8371,20.1162
8371,20.1162
8372,20.1147
8372,20.1147
8373,20.1132
8373,20.1132
8374,20.1116
8374,20.1116
8375,20.1101
8375,20.1101
8376,20.1086
8376,20.1086
8377,20.1071
8377,20.1071
8378,20.1055
8378,20.1055
8379,20.104
8379,20.104
8380,20.1025
8380,20.1025
8381,20.1009
8381,20.1009
8382,20.0994
8382,20.0994
8383,20.0978
8383,20.0978
8384,20.0963
8384,20.0963
8385,20.0948
8385,20.0948
8386,20.0932
8386,20.0932
8387,20.0917
8387,20.0917
8388,20.0902
8388,20.0902
8389,20.0888
8389,20.0888
8390,20.0873
8390,20.0873
8391,20.0859
8391,20.0859
8392,20.0844
8392,20.0844
8393,20.083
8393,20.083
8394,20.0815
8394,20.0815
8395,20.0801
8395,20.0801
8396,20.0786
8396,20.0786
8397,20.0772
8397,20.0772
8398,20.0757
8398,20.0757
8399,20.0742
8399,20.0742
8400,20.0727
8400,20.0727
8401,20.0711
8401,20.0711
8402,20.0696
8402,20.0696
8403,20.0681
8403,20.0681
8404,20.0666
8404,20.0666
8405,20.0651
8405,20.0651
8406,20.0635
8406,20.0635
8407,20.062
8407,20.062
8408,20.0605
8408,20.0605
8409,20.0588
8409,20.0588
8410,20.0572
8410,20.0572
8411,20.0556
8411,20.0556
8412,20.0539
8412,20.0539
8413,20.0523
8413,20.0523
8414,20.0507
8414,20.0507
8415,20.0491
8415,20.0491
8416,20.0474
8416,20.0474
8417,20.0458
8417,20.0458
8418,20.0442
8418,20.0442
8419,20.0427
8419,20.0427
8420,20.0411
8420,20.0411
8421,20.0395
8421,20.0395
8422,20.038
8422,20.038
8423,20.0364
8423,20.0364
8424,20.0349
8424,20.0349
8425,20.0333
8425,20.0333
8426,20.0318
8426,20.0318
8427,20.0302
8427,20.0302
8428,20.0287
8428,20.0287
8429,20.0271
8429,20.0271
8430,20.0256
8430,20.0256
8431,20.024
8431,20.024
8432,20.0225
8432,20.0225
8433,20.0209
8433,20.0209
8434,20.0194
8434,20.0194
8435,20.0178
8435,20.0178
8436,20.0163
8436,20.0163
8437,20.0148
8437,20.0148
8438,20.0132
8438,20.0132
8439,20.0117
8439,20.0117
8440,20.0102
8440,20.0102
8441,20.0087
8441,20.0087
8442,20.0072
8442,20.0072
8443,20.0057
8443,20.0057
8444,20.0042
8444,20.0042
8445,20.0027
8445,20.0027
8446,20.0012
8446,20.0012
8447,19.9996
8447,19.9996
8448,19.9981
8448,19.9981
8449,19.9966
8449,19.9966
8450,19.9951
8450,19.9951
8451,19.9936
8451,19.9936
8452,19.9921
8452,19.9921
8453,19.9906
8453,19.9906
8454,19.9891
8454,19.9891
8455,19.9876
8455,19.9876
8456,19.9861
8456,19.9861
8457,19.9847
8457,19.9847
8458,19.9833
8458,19.9833
8459,19.9819
8459,19.9819
8460,19.9805
8460,19.9805
8461,19.9792
8461,19.9792
8462,19.9778
8462,19.9778
8463,19.9764
8463,19.9764
8464,19.975
8464,19.975
8465,19.9737
8465,19.9737
8466,19.9723
8466,19.9723
8467,19.9709
8467,19.9709
8468,19.9696
8468,19.9696
8469,19.9682
8469,19.9682
8470,19.9668
8470,19.9668
8471,19.9655
8471,19.9655
8472,19.9641
8472,19.9641
8473,19.9628
8473,19.9628
8474,19.9614
8474,19.9614
8475,19.96
8475,19.96
8476,19.9587
8476,19.9587
8477,19.9573
8477,19.9573
8478,19.9559
8478,19.9559
8479,19.9545
8479,19.9545
8480,19.953
8480,19.953
8481,19.9516
8481,19.9516
8482,19.9502
8482,19.9502
8483,19.9488
