4160;3.58
4170;3.36
4180;3.56
4190;3.92
4200;3.47
4210;2.96
4220;3
4230;2.93
4240;3.17
4250;3.1
4260;3.11
4270;2.94
4280;2.65
4290;2.4
4300;2.33
4310;2.25
4320;2.29
4330;2.49
4340;2.52
4350;2.73
4360;2.61
4370;2.71
4380;2.23
4390;2.12
4400;2.15
4410;2.14
4420;1.91
4430;1.99
4440;1.77
4450;1.76
4460;1.79
4470;1.76
4480;1.63
4490;1.48
4500;1.44
4510;1.58
4520;1.57
4530;1.65
4540;1.93
4550;2.34
4560;2.25
4570;1.98
4580;1.79
4590;1.58
4600;1.64
4610;1.38
4620;1.18
4630;1.08
4640;0.98
4650;0.94
4660;1
4670;1.03
4680;1
4690;1.03
4700;1.06
4710;1.05
4720;1.03
4730;1.01
4740;1.01
4750;0.96
4760;0.96
4770;0.87
4780;0.76
4790;0.73
4800;0.78
4810;0.87
4820;0.93
4830;1.18
4840;1.4
4850;2
4860;2.07
4870;3.22
4880;3.15
4890;3.16
4900;3.61
4910;3.54
4920;4.08
4930;4.18
4940;4.09
4950;4.09
4960;4.12
4970;4.59
4980;5.04
4990;4.46
5000;4.84
5010;4.97
5020;4.96
5030;4.67
5040;4.78
5050;4.88
5060;4.93
5070;5.09
5080;5.1
5090;5.99
5100;5.65
5110;5.45
5120;6.17
5130;5.56
5140;5.68
5150;5.69
5160;5.43
5170;5.31
5180;5.33
5190;5.39
5200;5.8
5210;5.78
5220;5.61
5230;5.39
5240;5.48
5250;5.46
5260;5.4
5270;5.36
5280;5.32
5290;5.27
5300;5.06
5310;4.94
5320;4.86
5330;4.81
5340;4.68
5350;4.52
5360;4.45
5370;4.34
5380;4.43
5390;4.4
5400;4.59
5410;4.5
5420;4.53
5430;4.52
5440;4.55
5450;4.52
5460;4.46
5470;4.46
5480;4.48
5490;4.54
5500;4.14
5510;4.13
5520;3.92
5530;3.78
5540;3.56
5550;4.4
5560;4.77
5570;4.1
5580;3.91
5590;3.76
5600;3.65
5610;3.34
5620;3.08
5630;3.03
5640;2.87
5650;2.94
5660;2.93
5670;2.77
5680;2.57
5690;2.45
5700;1.75
5710;1.46
5720;1.52
5730;1.57
5740;1.59
5750;1.62
5760;1.48
5770;1.52
5780;1.46
5790;1.47
5800;1.31
5810;1.1
5820;0.96
5830;0.83
5840;0.41
5850;0.27
5860;0.5
5870;0.61
5880;0.42
5890;0.06
5900;-0.1
5910;-0.34
5920;-0.49
5930;-0.54
5940;-0.54
5950;-0.68
5960;-0.68
5970;-0.43
5980;-0.27
5990;-0.3
6000;-0.59
6010;-0.99
6020;-1.01
6030;-0.78
6040;-0.67
6050;-0.61
6060;-0.96
6070;-1.05
6080;-1.06
6090;-0.97
6100;-0.57
6110;-0.82
6120;-0.78
6130;-0.97
6140;-0.72
6150;-0.39
6160;0.15
6170;-1.4
6180;-1.33
6190;-0.82
6200;-1.25
6210;-1.08
6220;-1.08
6230;-1.02
6240;-0.81
6250;-0.42
6260;0.04
6270;-0.07
6280;0.31
6290;1.19
6300;1.83
6310;2.03
6320;2.74
6330;2.85
6340;3.23
6350;3.37
6360;3.51
6370;3.93
6380;3.88
6390;3.66
6400;4.05
6410;4.1
6420;4.83
6430;5.2
6440;5.07
6450;4.86
6460;5.04
6470;5.09
6480;5.3
6490;5.62
6500;5.91
6510;5.33
6520;5.61
6530;5.64
6540;5.46
6550;5.4
6560;5.61
6570;5.82
6580;6.03
6590;5.7
6600;5.83
6610;5.82
6620;5.87
6630;5.87
6640;6.12
6650;6.05
6660;5.83
6670;5.91
6680;5.77
6690;5.52
6700;5.51
6710;5.53
6720;5.48
6730;5.27
6740;5.28
6750;5.29
6760;5.17
6770;5.05
6780;5
6790;4.9
6800;4.83
6810;4.74
6820;4.71
6830;4.65
6840;4.57
6850;4.5
6860;4.45
6870;4.46
6880;4.51
6890;4.43
6900;4.27
6910;4.07
6920;3.93
6930;3.82
6940;3.66
6950;3.51
6960;3.4
6970;3.25
6980;3.09
6990;2.97
7000;2.81
7010;2.67
7020;2.61
7030;2.53
7040;2.35
7050;2.21
7060;1.98
7070;1.82
7080;1.71
7090;1.53
7100;1.42
7110;1.34
7120;1.23
7130;1.12
7140;1.01
7150;0.96
7160;0.89
7170;0.73
7180;0.61
7190;0.62
7200;0.63
7210;0.58
7220;0.57
7230;0.53
7240;0.45
7250;0.47
7260;0.37
7270;0.28
7280;0.3
7290;-0.05
7300;0.16
7310;-0.1
7320;-0.06
7330;0.1
7340;0.02
7350;-0.09
7360;-0.18
7370;-0.16
7380;-0.16
7390;-0.24
7400;-0.29
7410;-0.28
7420;-0.49
7430;-0.5
7440;-0.64
7450;-0.64
7460;-0.7
7470;-0.77
